"id","choice","pBB","pFM","pHse","pGen","pSS","income"
2118182,3,0.67,1.09,0.57,0.36,0.85,32.5
2118299,4,0.59,1.08,0.57,0.49,0.85,27.5
2118679,4,0.67,1.08,0.57,0.49,0.88,22.5
2119149,7,0.67,1.09,0.57,0.36,0.85,17.5
2119164,7,0.39,0.99,0.45,0.33,0.85,67.5
2119347,5,0.59,1.08,0.57,0.45,0.85,22.5
2119479,5,0.61,1.09,0.29,0.33,0.85,32.5
2119735,4,0.67,1.09,0.57,0.33,0.85,22.5
2119917,2,0.61,0.99,0.49,0.33,0.85,32.5
2120238,2,0.61,0.99,0.29,0.37,0.85,27.5
2120279,4,0.29,1.09,0.58,0.36,0.85,42.5
2120329,3,0.58,0.99,0.45,0.33,0.65,32.5
2120352,4,0.61,1.04,0.28,0.36,0.85,32.5
2120964,4,0.5,0.99,0.19,0.34,0.85,37.5
2121384,3,0.67,1.08,0.57,0.36,0.85,32.5
2121848,5,0.67,1.09,0.57,0.33,0.85,130
2122010,4,0.67,0.99,0.57,0.39,0.85,22.5
2122150,7,0.67,1.08,0.57,0.49,0.69,67.5
2122838,4,0.54,0.99,0.29,0.33,0.79,12.5
2123075,7,0.67,0.99,0.57,0.39,0.85,2.5
2123091,7,0.68,1.08,0.57,0.49,0.85,55
2123133,2,0.29,1.09,0.57,0.36,0.85,17.5
2123158,2,0.45,0.99,0.45,0.33,0.85,12.5
2123190,2,0.29,1.09,0.57,0.36,0.85,32.5
2123216,5,0.68,1.12,0.57,0.49,0.85,22.5
2123257,3,0.67,1.09,0.57,0.36,0.85,22.5
2123356,7,0.67,1.09,0.57,0.33,0.75,17.5
2123422,5,0.67,1.09,0.57,0.36,0.85,27.5
2123554,3,0.67,0.99,0.57,0.39,0.88,55
2123968,4,0.67,1.08,0.57,0.33,0.85,47.5
2124750,5,0.67,0.99,0.57,0.36,0.85,67.5
2124891,4,0.61,0.99,0.45,0.34,0.85,27.5
2125005,7,0.67,1.08,0.57,0.49,0.85,7.5
2125047,4,0.67,1.08,0.39,0.39,0.88,17.5
2125682,2,0.67,1.09,0.57,0.33,0.85,17.5
2125708,5,0.67,0.99,0.57,0.39,0.85,17.5
2125963,2,0.61,0.99,0.49,0.33,0.85,22.5
2126078,5,0.67,1.09,0.57,0.45,0.85,17.5
2126110,7,0.67,1.09,0.57,0.36,0.85,32.5
2126342,2,0.61,0.99,0.45,0.33,0.85,22.5
2126490,5,0.67,0.99,0.57,0.49,0.88,37.5
2127076,7,0.61,0.99,0.49,0.33,0.5,32.5
2127175,2,0.29,1.09,0.58,0.36,0.85,17.5
2127258,5,0.59,0.99,0.57,0.49,0.85,67.5
2127456,5,0.5,0.99,0.28,0.36,0.85,7.5
2127886,2,0.29,1.09,0.57,0.36,0.85,32.5
2128231,7,0.45,0.99,0.45,0.33,0.85,12.5
2128280,2,0.5,1.09,0.57,0.33,0.85,17.5
2128397,5,0.66,1.09,0.57,0.36,0.85,22.5
2128520,5,0.5,0.99,0.33,0.33,0.85,37.5
2128629,7,0.59,1.08,0.57,0.34,0.75,17.5
2128744,5,0.67,1.08,0.57,0.39,0.85,32.5
2128801,5,0.67,1.09,0.57,0.45,0.85,27.5
2128850,2,0.5,1.09,0.57,0.34,0.85,37.5
2128926,2,0.29,1.09,0.57,0.36,0.85,32.5
2129056,2,0.5,1.09,0.57,0.36,0.85,27.5
2129569,5,0.66,0.99,0.57,0.36,0.85,12.5
2130088,3,0.61,1.09,0.57,0.34,0.85,17.5
2130229,4,0.59,1.13,0.57,0.45,0.85,22.5
2130302,5,0.67,0.99,0.57,0.49,0.98,27.5
2130419,7,0.59,0.99,0.57,0.36,0.85,27.5
2131136,2,0.58,0.99,0.29,0.33,0.5,32.5
2131201,2,0.61,0.99,0.45,0.33,0.85,17.5
2131250,7,0.59,1.09,0.57,0.45,0.85,22.5
2131292,5,0.67,1.08,0.57,0.53,0.73,22.5
2131466,7,0.29,1.09,0.57,0.36,0.85,22.5
2131813,7,0.67,1.09,0.57,0.36,0.85,32.5
2132068,7,0.67,1.08,0.57,0.53,0.85,17.5
2132340,2,0.25,0.99,0.29,0.33,0.85,2.5
2133058,3,0.59,1.08,0.57,0.39,0.85,27.5
2133298,5,0.66,1.09,0.57,0.36,0.85,27.5
2133496,2,0.29,1.09,0.57,0.36,0.85,42.5
2133645,7,0.76,1.09,0.57,0.33,0.85,7.5
2133793,2,0.25,0.99,0.29,0.34,0.85,7.5
2133843,2,0.5,1.09,0.57,0.33,0.85,27.5
2133983,5,0.67,1.09,0.57,0.36,0.85,12.5
2134015,3,0.19,0.99,0.29,0.34,0.79,37.5
2134114,4,0.61,0.99,0.49,0.33,0.85,55
2134130,2,0.5,1.09,0.57,0.33,0.85,22.5
2134304,7,0.67,1.09,0.57,0.36,0.75,12.5
2134676,7,0.67,1.08,0.57,0.33,0.7,17.5
2134742,3,0.25,0.99,0.25,0.33,0.85,7.5
2134874,2,0.59,0.99,0.57,0.49,0.85,55
2134890,4,0.68,1.09,0.57,0.36,0.85,22.5
2135251,5,0.59,1.08,0.57,0.45,0.85,22.5
2135525,2,0.61,0.99,0.45,0.33,0.85,22.5
2135749,3,0.61,0.99,0.49,0.34,0.85,55
2135863,5,0.67,1.09,0.57,0.36,0.85,22.5
2135988,4,0.67,1.09,0.57,0.36,0.85,55
2136051,7,0.67,1.09,0.57,0.36,0.85,17.5
2136176,4,0.61,0.99,0.45,0.34,0.85,32.5
2136275,2,0.29,1.09,0.57,0.36,0.85,27.5
2136341,7,0.67,0.99,0.57,0.49,0.88,27.5
2136531,2,0.29,1.09,0.57,0.36,0.85,22.5
2136689,7,0.67,1.08,0.57,0.49,0.85,55
2136960,5,0.67,1.09,0.57,0.33,0.85,32.5
2137059,5,0.47,1.09,0.57,0.36,0.85,32.5
2137539,2,0.61,0.99,0.45,0.33,0.85,42.5
2137604,2,0.61,0.99,0.45,0.33,0.85,32.5
2137760,4,0.61,0.99,0.49,0.33,0.85,17.5
2137935,4,0.58,0.99,0.29,0.33,0.79,55
2138065,2,0.61,0.99,0.49,0.33,0.85,7.5
2138149,5,0.58,0.99,0.45,0.33,0.85,12.5
2138420,5,0.59,0.99,0.57,0.33,0.85,22.5
2138594,3,0.67,1.08,0.57,0.36,0.85,27.5
2138800,5,0.59,0.99,0.57,0.49,0.85,22.5
2139188,5,0.67,1.09,0.57,0.36,0.85,17.5
2139626,7,0.59,1.08,0.57,0.49,0.71,47.5
2139766,2,0.61,0.99,0.45,0.34,0.85,22.5
2139865,3,0.58,0.99,0.45,0.33,0.65,12.5
2140046,4,0.67,1.09,0.57,0.45,0.85,17.5
2140285,4,0.67,1.09,0.57,0.33,0.85,17.5
2140442,3,0.67,0.99,0.57,0.49,0.66,32.5
2141051,4,0.39,0.99,0.45,0.33,0.85,22.5
2141101,2,0.5,1.09,0.57,0.33,0.85,37.5
2141523,4,0.61,1.09,0.29,0.36,0.85,12.5
2141713,7,0.61,0.99,0.49,0.33,0.5,12.5
2141960,2,0.61,0.99,0.45,0.33,0.85,22.5
2141986,2,0.29,1.09,0.57,0.36,0.85,22.5
2142364,2,0.61,0.99,0.45,0.34,0.85,7.5
2142661,4,0.59,1.08,0.57,0.45,0.85,27.5
2142992,7,0.67,1.08,0.57,0.49,0.71,47.5
2143099,2,0.67,1.09,0.57,0.36,0.85,27.5
2143180,5,0.59,1.11,0.57,0.33,0.85,42.5
2143198,2,0.29,1.09,0.57,0.36,0.85,37.5
2143305,3,0.58,0.99,0.19,0.33,0.64,32.5
2143446,4,0.61,0.99,0.45,0.34,0.85,12.5
2143800,4,0.54,0.99,0.29,0.33,0.79,17.5
2144048,2,0.61,0.99,0.45,0.33,0.85,22.5
2144253,5,0.5,1.09,0.57,0.34,0.85,12.5
2144576,3,0.67,1.09,0.57,0.36,0.85,12.5
2144741,4,0.67,1.09,0.57,0.36,0.85,7.5
2145672,7,0.59,1.08,0.57,0.36,0.75,7.5
2145748,4,0.61,0.99,0.45,0.33,0.85,7.5
2145771,2,0.61,0.99,0.49,0.33,0.85,12.5
2145979,2,0.25,0.99,0.29,0.33,0.85,7.5
2146035,4,0.67,0.99,0.57,0.49,0.85,22.5
2146050,3,0.59,0.99,0.57,0.49,0.85,12.5
2146225,7,0.61,1.09,0.29,0.36,0.85,7.5
2146621,2,0.5,1.09,0.57,0.36,0.85,12.5
2147066,7,0.67,1.08,0.57,0.45,0.85,32.5
2147538,7,0.61,0.99,0.49,0.33,0.5,27.5
2147959,2,0.61,0.99,0.49,0.34,0.85,17.5
2147983,3,0.61,0.99,0.49,0.33,0.85,17.5
2148031,4,0.39,0.99,0.45,0.33,0.85,55
2148064,2,0.61,0.99,0.49,0.33,0.85,17.5
2148320,2,0.59,0.99,0.57,0.36,0.85,12.5
2148494,2,0.58,0.99,0.25,0.33,0.85,22.5
2148700,4,0.45,0.99,0.45,0.33,0.85,22.5
2149054,5,0.5,1.09,0.57,0.33,0.85,42.5
2149278,7,0.67,1.09,0.57,0.33,0.7,17.5
2149674,4,0.67,1.09,0.57,0.33,0.85,12.5
2150029,5,0.68,1.08,0.57,0.49,0.75,47.5
2150151,2,0.29,1.09,0.57,0.36,0.85,27.5
2150193,5,0.67,1.09,0.57,0.33,0.85,37.5
2150235,2,0.5,1.09,0.57,0.33,0.85,17.5
2150680,4,0.29,1.09,0.57,0.36,0.85,12.5
2150706,2,0.58,0.99,0.29,0.33,0.79,37.5
2150938,2,0.29,1.09,0.57,0.36,0.85,32.5
2151522,4,0.59,1.08,0.57,0.39,0.85,22.5
2151555,7,0.61,0.99,0.45,0.33,0.85,42.5
2153536,7,0.5,0.99,0.29,0.34,0.85,17.5
2155010,3,0.61,0.99,0.33,0.36,0.85,12.5
